"Truck Number","Type Code","Type Description","Vin Number","Dot Number","Terminal/Office","Insurance Policy Number","License Plate","State/Province"
="103","TR","Tractor (Semi)","1FUJGEDR9ELFK2567",,"1805 CHEMIN SAINT-FRANCOIS",,"L937244","QC"
="212","TR","Tractor (Semi)","4V4NC9EH4FN178462",,"1805 CHEMIN SAINT-FRANCOIS",,"L932175","QC"
="279","TR","Tractor (Semi)","3HSDZTZR1PN772493",,"1805 CHEMIN SAINT-FRANCOIS",,"L833600","QC"
="285","TR","Tractor (Semi)","1FUJGLD56GLGY9702",,"1805 CHEMIN SAINT-FRANCOIS",,"L913357","QC"
="291","TR","Tractor (Semi)","3AKJHHDR9RSUU3308",,"1805 CHEMIN SAINT-FRANCOIS",,"L871343","QC"
="293","TR","Tractor (Semi)","1TKJ051XYB0635831",,"1805 CHEMIN SAINT-FRANCOIS",,"L708303","QC"
="296","TR","Tractor (Semi)","3HSDZAPRXSN605128",,"1805 CHEMIN SAINT-FRANCOIS",,"L751296","QC"
="581",,,,,"1805 CHEMIN SAINT-FRANCOIS",,,
="594","TR","Tractor (Semi)","3AKJHHDR9KSKA1278",,"1805 CHEMIN SAINT-FRANCOIS",,"RP5410A","QC"
="6100","TR","Tractor (Semi)","4V4NC9EH0PN322400",,"1805 CHEMIN SAINT-FRANCOIS",,"L962515","QC"
="6102","TR","Tractor (Semi)","4V4NC9EH4PN322402",,"1805 CHEMIN SAINT-FRANCOIS",,"L962773","QC"
="6103","TR","Tractor (Semi)","4V4NC9EH6PN322403",,"1805 CHEMIN SAINT-FRANCOIS",,"L962772","QC"
="6104","TR","Tractor (Semi)","4V4NC9EH8PN322404",,"1805 CHEMIN SAINT-FRANCOIS",,"L962771","QC"
="6105","TR","Tractor (Semi)","4V4NC9EHXPN322405",,"1805 CHEMIN SAINT-FRANCOIS",,"L962770","QC"
="6106","TR","Tractor (Semi)","4V4NC9EH1PN322406",,"1805 CHEMIN SAINT-FRANCOIS",,"L969290","QC"
="6107","TR","Tractor (Semi)","4V4NC9EH3PN322407",,"1805 CHEMIN SAINT-FRANCOIS",,"L964329","QC"
="6108","TR","Tractor (Semi)","4V4NC9EH5PN322408",,"1805 CHEMIN SAINT-FRANCOIS",,"L964330","QC"
="6109","TR","Tractor (Semi)","4V4NC9EH7PN322409",,"1805 CHEMIN SAINT-FRANCOIS",,"L965052","QC"
="6110","TR","Tractor (Semi)","4V4NC9EH3PN322410",,"1805 CHEMIN SAINT-FRANCOIS",,"L964331","QC"
="6111","TR","Tractor (Semi)","4V4NC9EH5PN322411",,"1805 CHEMIN SAINT-FRANCOIS",,"L964332","QC"
="6112","TR","Tractor (Semi)","4V4NC9EH7PN322412",,"1805 CHEMIN SAINT-FRANCOIS",,"L969289","QC"
="6113","TR","Tractor (Semi)","4V4NC9EH9PN322413",,"1805 CHEMIN SAINT-FRANCOIS",,"L964333","QC"
="6114","TR","Tractor (Semi)","4V4NC9EH0PN322414",,"1805 CHEMIN SAINT-FRANCOIS",,"L964334","QC"
="6115","TR","Tractor (Semi)","4V4NC9EH2PN322415",,"1805 CHEMIN SAINT-FRANCOIS",,"L969288","QC"
="6116","TR","Tractor (Semi)","4V4NC9EH4PN322416",,"1805 CHEMIN SAINT-FRANCOIS",,"L969286","QC"
="6117","TR","Tractor (Semi)","4V4NC9EH6PN322417",,"1805 CHEMIN SAINT-FRANCOIS",,"L969285","QC"
="6118","TR","Tractor (Semi)","4V4NC9EH8PN322418",,"1805 CHEMIN SAINT-FRANCOIS",,"L969284","QC"
="6119","TR","Tractor (Semi)","4V4NC9EH4RN637137",,"1805 CHEMIN SAINT-FRANCOIS",,"L985956","QC"
="6120","TR","Tractor (Semi)","4V4NC9EH4RN637140",,"1805 CHEMIN SAINT-FRANCOIS",,"L985951","QC"
="6121","TR","Tractor (Semi)","4V4NC9EH4RN637154",,"1805 CHEMIN SAINT-FRANCOIS",,"L985952","QC"
="6122","TR","Tractor (Semi)","4V4NC9EH8RN637156",,"1805 CHEMIN SAINT-FRANCOIS",,"L985958","QC"
="6123","TR","Tractor (Semi)","4V4NC9EHXRN637157",,"1805 CHEMIN SAINT-FRANCOIS",,"L985950","QC"
="6124","TR","Tractor (Semi)","4V4NC9EH1RN637158",,"1805 CHEMIN SAINT-FRANCOIS",,"L985955","QC"
="6125","TR","Tractor (Semi)","4V4NC9EH6RN637138",,"1805 CHEMIN SAINT-FRANCOIS",,"L946499","QC"
="6126","TR","Tractor (Semi)","4V4NC9EH8RN637139",,"1805 CHEMIN SAINT-FRANCOIS",,"L946500","QC"
="6127","TR","Tractor (Semi)","4V4NC9EH6RN637141",,"1805 CHEMIN SAINT-FRANCOIS",,"L940701","QC"
="6128","TR","Tractor (Semi)","4V4NC9EH6RN637155",,"1805 CHEMIN SAINT-FRANCOIS",,"L940702","QC"
="6129","TR","Tractor (Semi)","4V4NC9EH1RN637130",,"1805 CHEMIN SAINT-FRANCOIS",,"L957579","QC"
="6130","TR","Tractor (Semi)","4V4NC9EH3RN637131",,"1805 CHEMIN SAINT-FRANCOIS",,"L957581","QC"
="6131","TR","Tractor (Semi)","4V4NC9EH5RN637132",,"1805 CHEMIN SAINT-FRANCOIS",,"L957575","QC"
="6132","TR","Tractor (Semi)","4V4NC9EH7RN637133",,"1805 CHEMIN SAINT-FRANCOIS",,"L957574","QC"
="6133","TR","Tractor (Semi)","4V4NC9EH9RN637134",,"1805 CHEMIN SAINT-FRANCOIS",,"L957576","QC"
="6134","TR","Tractor (Semi)","4V4NC9EHXRN637109",,"1805 CHEMIN SAINT-FRANCOIS",,"L957578","QC"
="6135","TR","Tractor (Semi)","4V4NC9EH6RN637110",,"1805 CHEMIN SAINT-FRANCOIS",,"L957572","QC"
="6136","TR","Tractor (Semi)","4V4NC9EH8RN637111",,"1805 CHEMIN SAINT-FRANCOIS",,"L957577","QC"
="6137","TR","Tractor (Semi)","4V4NC9EHXRN637112",,"1805 CHEMIN SAINT-FRANCOIS",,"L957580","QC"
="6138","TR","Tractor (Semi)","4V4NC9EH1RN637113",,"1805 CHEMIN SAINT-FRANCOIS",,"L957573","QC"
="6139","TR","Tractor (Semi)","4V4NC9EH5RN637163",,"1805 CHEMIN SAINT-FRANCOIS",,"L958303","QC"
="6140","TR","Tractor (Semi)","4V4NC9EH7RN637164",,"1805 CHEMIN SAINT-FRANCOIS",,"L889311","QC"
="6141","TR","Tractor (Semi)","4V4NC9EH9RN637165",,"1805 CHEMIN SAINT-FRANCOIS",,"L889306","QC"
="6142","TR","Tractor (Semi)","4V4NC9EH0RN637166",,"1805 CHEMIN SAINT-FRANCOIS",,"L889305","QC"
="6143","TR","Tractor (Semi)","4V4NC9EH2RN637167",,"1805 CHEMIN SAINT-FRANCOIS",,"L889309","QC"
="6144","TR","Tractor (Semi)","4V4NC9EH7RN637102",,"1805 CHEMIN SAINT-FRANCOIS",,"L994598","QC"
="6145","TR","Tractor (Semi)","4V4NC9EH5RN650589",,"1805 CHEMIN SAINT-FRANCOIS",,"L994597","QC"
="6146","TR","Tractor (Semi)","4V4NC9EH1RN650590",,"1805 CHEMIN SAINT-FRANCOIS",,"L994601","QC"
="6147","TR","Tractor (Semi)","4V4NC9EH3RN650591",,"1805 CHEMIN SAINT-FRANCOIS",,"L994600","QC"
="6148","TR","Tractor (Semi)","4V4NC9EH5RN650592",,"1805 CHEMIN SAINT-FRANCOIS",,"L994599","QC"
="6149","TR","Tractor (Semi)","4V4NC9EH7RN650593",,"1805 CHEMIN SAINT-FRANCOIS",,"L667612","QC"
="6150","TR","Tractor (Semi)","4V4NC9EH9RN650594",,"1805 CHEMIN SAINT-FRANCOIS",,"L667611","QC"
="6151","TR","Tractor (Semi)","4V4NC9EH1SN655603",,"1805 CHEMIN SAINT-FRANCOIS",,"L667610","QC"
="6152","TR","Tractor (Semi)","4V4NC9EHXSN655616",,"1805 CHEMIN SAINT-FRANCOIS",,"L667609","QC"
="6153","TR","Tractor (Semi)","4V4NC9EH7SN655623",,"1805 CHEMIN SAINT-FRANCOIS",,"L667613","QC"
="6154","TR","Tractor (Semi)","4V4BC9EH7TN698900",,"1805 CHEMIN SAINT-FRANCOIS",,"LE37326","QC"
="6155","TR","Tractor (Semi)","4V4BC9EH9TN698901",,"1805 CHEMIN SAINT-FRANCOIS",,"LE37327","QC"
