"Trailer Number","Type Code","Type Description","Terminal/Office","License Plate","State/Province"
="112103","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RG1891N","QC"
="112125","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RH9631F","QC"
"2TG-01","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP0044V","QC"
"2TG-02","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP0043V","QC"
"2TG-03","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP0494C","QC"
"2TG-04","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR0271V","QC"
"2TG-05","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR0272V","QC"
"2TG-06","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR0273V","QC"
="311","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE9048L","QC"
="313","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RT2328G","QC"
="319","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ9355M","QC"
="320","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RK3254M","QC"
="322","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RM9142E","QC"
="323","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RZ28994","QC"
="324","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR7941W","QC"
="325","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RF1480G","QC"
="326","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN0822V","QC"
="327","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL3952J","QC"
="328","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RF7851K","QC"
="328110","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RH8645K","QC"
="328139","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RH5395R","QC"
="329","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE9049L","QC"
="330","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE9051L","QC"
="3301","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL2852Y","QC"
